Time,Cars_inside,Total_spaces,Free_spaces,Air_value,Gate_status
11:52:43,6,10,4,37,ALLOW
11:52:44,6,10,4,36,ALLOW
11:52:45,6,10,4,36,ALLOW
11:52:46,6,10,4,36,ALLOW
11:52:47,6,10,4,36,ALLOW
11:52:48,6,10,4,36,ALLOW
11:52:49,6,10,4,36,ALLOW
11:52:50,6,10,4,36,ALLOW
11:52:51,6,10,4,36,ALLOW
11:52:52,6,10,4,37,ALLOW
11:52:53,6,10,4,37,ALLOW
11:52:54,6,10,4,37,ALLOW
11:52:55,6,10,4,36,ALLOW
11:52:56,6,10,4,37,ALLOW
11:52:57,6,10,4,36,ALLOW
11:52:58,6,10,4,36,ALLOW
11:52:59,6,10,4,36,ALLOW
11:53:00,6,10,4,36,ALLOW
11:53:01,6,10,4,37,ALLOW
11:53:02,6,10,4,36,ALLOW
11:53:03,6,10,4,36,ALLOW
11:53:04,6,10,4,36,ALLOW
11:53:05,6,10,4,36,ALLOW
11:53:06,6,10,4,36,ALLOW
11:53:06,6,10,4,36,ALLOW
11:53:07,6,10,4,36,ALLOW
11:53:08,6,10,4,35,ALLOW
11:53:09,6,10,4,36,ALLOW
11:53:10,6,10,4,36,ALLOW
11:53:12,6,10,4,35,ALLOW
11:53:13,6,10,4,36,ALLOW
11:53:14,6,10,4,36,ALLOW
11:53:15,6,10,4,36,ALLOW
11:53:16,6,10,4,36,ALLOW
11:53:17,6,10,4,36,ALLOW
11:53:18,6,10,4,36,ALLOW
11:53:19,6,10,4,36,ALLOW
11:53:20,6,10,4,36,ALLOW
11:53:21,6,10,4,36,ALLOW
11:53:22,6,10,4,35,ALLOW
11:53:23,6,10,4,36,ALLOW
11:53:24,6,10,4,36,ALLOW
11:53:25,6,10,4,36,ALLOW
11:53:26,6,10,4,35,ALLOW
11:53:27,6,10,4,36,ALLOW
11:53:28,6,10,4,36,ALLOW
11:53:29,6,10,4,36,ALLOW
11:53:30,6,10,4,36,ALLOW
11:53:31,6,10,4,36,ALLOW
11:53:32,6,10,4,35,ALLOW
11:53:33,6,10,4,35,ALLOW
11:53:34,6,10,4,36,ALLOW
11:53:35,6,10,4,36,ALLOW
11:53:36,6,10,4,36,ALLOW
11:53:37,6,10,4,35,ALLOW
11:53:38,6,10,4,35,ALLOW
11:53:39,6,10,4,35,ALLOW
11:53:40,6,10,4,35,ALLOW
